token	class
সভ্যতা	PLAIN
ছিল	PLAIN
উন্নত	PLAIN
।	SYMBOL
<eos>	<eos>
খ্রি:পূ:	ABBREVIATION
৩২৬	CARDINAL
সালে	PLAIN
আলেকজান্ডার	PLAIN
দ্য	PLAIN
গ্রেট	PLAIN
ভারত	PLAIN
আক্রমণ	PLAIN
করেন	PLAIN
।	SYMBOL
<eos>	<eos>
খ্রী:পূ:	ABBREVIATION
যুগের	PLAIN
অনেক	PLAIN
গুরুত্বপূর্ণ	PLAIN
ঐতিহাসিক	PLAIN
নিদর্শন	PLAIN
বাংলাদেশে	PLAIN
পাওয়া	PLAIN
গেছে	PLAIN
।	SYMBOL
<eos>	<eos>
লে.	ABBREVIATION
কর্নেল	PLAIN
আবদুল	PLAIN
হামিদ	PLAIN
বীর	PLAIN
উত্তম	PLAIN
একজন	PLAIN
বীর	PLAIN
মুক্তিযোদ্ধা	PLAIN
ছিলেন	PLAIN
।	SYMBOL
<eos>	<eos>
লেঃ	ABBREVIATION
জেনারেল	PLAIN
আজিজ	PLAIN
আহমেদ	PLAIN
সেনাবাহিনীর	PLAIN
উচ্চপদস্থ	PLAIN
কর্মকর্তা	PLAIN
।	SYMBOL
<eos>	<eos>
গতকাল	PLAIN
রাতে	PLAIN
ঢাকায়	PLAIN
৪৫	CARDINAL
মি.মি.	ABBREVIATION
বৃষ্টিপাত	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
আমার	PLAIN
বাগানের	PLAIN
এই	PLAIN
গাছটি	PLAIN
প্রতি	PLAIN
মাসে	PLAIN
৫	CARDINAL
-	SYMBOL
৭	CARDINAL
সেমি.	ABBREVIATION
বাড়ে	PLAIN
।	SYMBOL
<eos>	<eos>
ঢাকা	PLAIN
থেকে	PLAIN
চট্টগ্রাম	PLAIN
২৪৫	CARDINAL
কি.	ABBREVIATION
মি.	ABBREVIATION
দূরে	PLAIN
অবস্থিত	PLAIN
।	SYMBOL
<eos>	<eos>
আমি	PLAIN
প্রতিদিন	PLAIN
৫	CARDINAL
কিমি	ABBREVIATION
হাঁটি	PLAIN
স্বাস্থ্য	PLAIN
ভালো	PLAIN
রাখার	PLAIN
জন্য	PLAIN
।	SYMBOL
<eos>	<eos>
আমাদের	PLAIN
বাড়িটি	PLAIN
৩	CARDINAL
ব.	ABBREVIATION
মি.	ABBREVIATION
জমির	PLAIN
উপর	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
প্রকল্পের	PLAIN
জন্য	PLAIN
সরকার	PLAIN
৫০০	CARDINAL
ব.মি.	ABBREVIATION
জমি	PLAIN
বরাদ্দ	PLAIN
করেছে	PLAIN
।	SYMBOL
<eos>	<eos>
আমাদের	PLAIN
খামারে	PLAIN
৫	CARDINAL
হে.	ABBREVIATION
জমিতে	PLAIN
ধান	PLAIN
চাষ	PLAIN
করা	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
গ্রামে	PLAIN
মোট	PLAIN
কৃষি	PLAIN
জমির	PLAIN
পরিমাণ	PLAIN
১২০	CARDINAL
হে:	ABBREVIATION
এর	PLAIN
বেশি	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
বোতলে	PLAIN
১	CARDINAL
লি.	ABBREVIATION
পানি	PLAIN
ধরে	PLAIN
।	SYMBOL
<eos>	<eos>
খুলাফা-ই-রাশিদিন	PLAIN
(	SYMBOL
হজরত	PLAIN
আবু	PLAIN
বকর	PLAIN
(	SYMBOL
রা.	ABBREVIATION
)	SYMBOL
,	SYMBOL
হজরত	PLAIN
উমর	PLAIN
(	SYMBOL
রা.	ABBREVIATION
)	SYMBOL
,	SYMBOL
হজরত	PLAIN
উসমান	PLAIN
(	SYMBOL
রা.	ABBREVIATION
)	SYMBOL
ও	PLAIN
হজরত	PLAIN
আলী	PLAIN
(	SYMBOL
রা.	ABBREVIATION
)	SYMBOL
—	SYMBOL
এই	PLAIN
চার	PLAIN
খলিফা	PLAIN
)	SYMBOL
মোটামুটি	PLAIN
এ	PLAIN
নীতির	PLAIN
ওপর	PLAIN
নির্বাচিত	PLAIN
ছিলেন	PLAIN
।	SYMBOL
<eos>	<eos>
দৈনিক	PLAIN
২	CARDINAL
-	SYMBOL
৩	CARDINAL
লি.	ABBREVIATION
পানি	PLAIN
পান	PLAIN
করা	PLAIN
উচিত	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
প্রকল্পে	PLAIN
মাটি	PLAIN
কাটার	PLAIN
পরিমাণ	PLAIN
৫,০০০	CARDINAL
ঘ.মি.	ABBREVIATION
নির্ধারিত	PLAIN
করা	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
সড়ক	PLAIN
বাধ	PLAIN
নির্মাণের	PLAIN
পরিমাণ	PLAIN
১২.৮৭	DECIMAL
লক্ষ	PLAIN
ঘ.মি.	ABBREVIATION
পূর্বনির্ধারিত	PLAIN
ছিল	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
ওষুধের	PLAIN
মাত্রা	PLAIN
দিনে	PLAIN
তিনবার	PLAIN
৫	CARDINAL
মি.লি.	ABBREVIATION
করে	PLAIN
।	SYMBOL
<eos>	<eos>
ডাক্তার	PLAIN
আমাকে	PLAIN
প্রতিদিন	PLAIN
১০	CARDINAL
মি.লি.	ABBREVIATION
সিরাপ	PLAIN
খেতে	PLAIN
বলেছেন	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
ট্যাবলেটে	PLAIN
৫০০	CARDINAL
মি.গ্রা.	ABBREVIATION
প্যারাসিটামল	PLAIN
আছে	PLAIN
।	SYMBOL
<eos>	<eos>
ডাক্তার	PLAIN
আমাকে	PLAIN
২৫০	CARDINAL
মিগ্রা	ABBREVIATION
ডোজের	PLAIN
অ্যান্টিবায়োটিক	PLAIN
দিয়েছেন	PLAIN
।	SYMBOL
<eos>	<eos>
আমি	PLAIN
বাজার	PLAIN
থেকে	PLAIN
২	CARDINAL
কি.গ্রা.	ABBREVIATION
আলু	PLAIN
কিনেছি	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
সব্জিটির	PLAIN
ওজন	PLAIN
২৫০	CARDINAL
গ্রা.	ABBREVIATION
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
হিঃ	ABBREVIATION
১৪৪৫	CARDINAL
সালে	PLAIN
আমরা	PLAIN
রমজান	PLAIN
মাস	PLAIN
পালন	PLAIN
করলাম	PLAIN
।	SYMBOL
<eos>	<eos>
মুহাম্মদ	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
হিঃ	ABBREVIATION
৬৩২	DATE
সালে	PLAIN
ইন্তেকাল	PLAIN
করেন	PLAIN
।	SYMBOL
<eos>	<eos>
বাংলাদেশ	PLAIN
এই	PLAIN
বছর	PLAIN
৩৮	CARDINAL
লক্ষ	PLAIN
মে.টন	ABBREVIATION
চাল	PLAIN
উৎপাদন	PLAIN
করেছে	PLAIN
।	SYMBOL
<eos>	<eos>
আমদানি	PLAIN
করা	PLAIN
গমের	PLAIN
পরিমাণ	PLAIN
৫	CARDINAL
লক্ষ	PLAIN
মে.	ABBREVIATION
টন	PLAIN
ছাড়িয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
বিদ্যুৎ	PLAIN
কেন্দ্র	PLAIN
প্রতিদিন	PLAIN
২০০০	CARDINAL
কি.ও.ঘ.	ABBREVIATION
বিদ্যুৎ	PLAIN
উৎপাদন	PLAIN
করে	PLAIN
।	SYMBOL
<eos>	<eos>
আমাদের	PLAIN
বাসার	PLAIN
গত	PLAIN
মাসের	PLAIN
বিদ্যুৎ	PLAIN
ব্যবহার	PLAIN
ছিল	PLAIN
২৫০	CARDINAL
কি.ও.ঘ.	ABBREVIATION
।	SYMBOL
<eos>	<eos>
এই	PLAIN
প্রকল্পের	PLAIN
মোট	PLAIN
ব্যয়	PLAIN
ধরা	PLAIN
হয়েছে	PLAIN
৫	CARDINAL
লক্ষ	PLAIN
মা.ড	ABBREVIATION
।	SYMBOL
<eos>	<eos>
আজকের	PLAIN
বাজারে	PLAIN
১	CARDINAL
মা.ড	ABBREVIATION
এর	PLAIN
দাম	PLAIN
প্রায়	PLAIN
১১০	CARDINAL
টাকা	PLAIN
।	SYMBOL
<eos>	<eos>
চলতি	PLAIN
মৌসুমে	PLAIN
এই	PLAIN
এলাকায়	PLAIN
৫০০	CARDINAL
কুই:	ABBREVIATION
ধান	PLAIN
উৎপাদন	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
কৃষকরা	PLAIN
বাজারে	PLAIN
১০	CARDINAL
কুই:	ABBREVIATION
আলু	PLAIN
বিক্রি	PLAIN
করেছেন	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
পেন্সিলটির	PLAIN
দৈর্ঘ্য	PLAIN
১৫০	CARDINAL
মি.মি.	ABBREVIATION
।	SYMBOL
<eos>	<eos>
ফা:	ABBREVIATION
সেলসিয়াসের	PLAIN
একটি	PLAIN
একক	PLAIN
।	SYMBOL
<eos>	<eos>
কুই:	ABBREVIATION
দিয়ে	PLAIN
পুরাতন	PLAIN
পদ্ধতিতে	PLAIN
ওজন	PLAIN
মাপা	PLAIN
হত	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
মোটরটি	PLAIN
৫	CARDINAL
কি.ও.ঘ.	ABBREVIATION
বিদ্যুৎ	PLAIN
খরচ	PLAIN
করে	PLAIN
।	SYMBOL
<eos>	<eos>
খ্রি:পূ:	ABBREVIATION
৩২৬	DATE
সালে	PLAIN
আলেকজান্ডার	PLAIN
ভারত	PLAIN
আক্রমণ	PLAIN
করেন	PLAIN
।	SYMBOL
<eos>	<eos>
খ্রি:পূ:	ABBREVIATION
৫০০	DATE
সালে	PLAIN
রোমান	PLAIN
প্রজাতন্ত্র	PLAIN
প্রতিষ্ঠিত	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
অ্যাড.	ABBREVIATION
খন্দকার	PLAIN
মাহবুব	PLAIN
হোসেন	PLAIN
একজন	PLAIN
সিনিয়র	PLAIN
আইনজীবী	PLAIN
ছিলেন	PLAIN
।	SYMBOL
<eos>	<eos>
এড.	ABBREVIATION
রাবেয়া	PLAIN
একজন	PLAIN
নারী	PLAIN
অধিকার	PLAIN
কর্মী	PLAIN
।	SYMBOL
<eos>	<eos>
ডাঃ	ABBREVIATION
জাকির	PLAIN
নায়েক	PLAIN
একজন	PLAIN
বিখ্যাত	PLAIN
বক্তা	PLAIN
।	SYMBOL
<eos>	<eos>
ডাঃ	ABBREVIATION
দেবী	PLAIN
শেঠী	PLAIN
একজন	PLAIN
বিশ্বখ্যাত	PLAIN
হৃদরোগ	PLAIN
বিশেষজ্ঞ	PLAIN
।	SYMBOL
<eos>	<eos>
মহানবী	PLAIN
হযরত	PLAIN
মুহাম্মদ	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
বিশ্ববাসীর	PLAIN
জন্য	PLAIN
আদর্শ	PLAIN
।	SYMBOL
<eos>	<eos>
হযরত	PLAIN
ঈসা	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
আল্লাহর	PLAIN
প্রেরিত	PLAIN
পুরুষ	PLAIN
ছিলেন	PLAIN
।	SYMBOL
<eos>	<eos>
ড.	ABBREVIATION
জামিলুর	PLAIN
রেজা	PLAIN
চৌধুরী	PLAIN
একজন	PLAIN
বিখ্যাত	PLAIN
প্রকৌশলী	PLAIN
ছিলেন	PLAIN
।	SYMBOL
<eos>	<eos>
মোছা:	ABBREVIATION
খাদিজা	PLAIN
একজন	PLAIN
সফল	PLAIN
উদ্যোক্তা	PLAIN
।	SYMBOL
<eos>	<eos>
যিশু	PLAIN
খ্রি.	ABBREVIATION
এর	PLAIN
জন্ম	PLAIN
হয়েছিল	PLAIN
বেথলেহেমে	PLAIN
।	SYMBOL
<eos>	<eos>
ট্রাকটিতে	PLAIN
১৫	CARDINAL
মে.	ABBREVIATION
টন	PLAIN
মাল	PLAIN
আছে	PLAIN
।	SYMBOL
<eos>	<eos>
আলুর	PLAIN
বস্তায়	PLAIN
২০	CARDINAL
কি.গ্রা.	ABBREVIATION
আলু	PLAIN
আছে	PLAIN
।	SYMBOL
<eos>	<eos>
ক্যাপসুলে	PLAIN
২০	CARDINAL
মিগ্রা	ABBREVIATION
আয়রন	PLAIN
আছে	PLAIN
।	SYMBOL
<eos>	<eos>
চতুর্থ	ORDINAL
খলিফা	PLAIN
হজরত	PLAIN
আলী	PLAIN
(	SYMBOL
রা.	ABBREVIATION
)	SYMBOL
-এর	PLAIN
মৃত্যুর	PLAIN
পর	PLAIN
মুসলমানদের	PLAIN
মধ্যে	PLAIN
খিলাফত	PLAIN
নিয়ে	PLAIN
দ্বন্দ্ব	PLAIN
শুরু	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
