token	class
২০০	CARDINAL
ইউনিট	PLAIN
পর্যন্ত	PLAIN
বিল	PLAIN
আসবে	PLAIN
৪.৪৫	MONEY
টাকা	PLAIN
হারে	PLAIN
<eos>	<eos>
সেক্ষেত্রে	PLAIN
বিল	PLAIN
আসবে	PLAIN
৫.৭০	MONEY
টাকা	PLAIN
হারে	PLAIN
<eos>	<eos>
৩০১	CARDINAL
ইউনিট	PLAIN
থেকে	PLAIN
৪০০	CARDINAL
ইউনিট	PLAIN
পর্যন্ত	PLAIN
বিল	PLAIN
আসবে	PLAIN
প্রতি	PLAIN
ইউনিট	PLAIN
৬.০২	MONEY
টাকা	PLAIN
হারে	PLAIN
<eos>	<eos>
চলতি	PLAIN
বছরে	PLAIN
পেঁয়াজের	PLAIN
প্রতি	PLAIN
কেজিতে	PLAIN
উৎপাদন	PLAIN
খরচ	PLAIN
১৯.২৪	MONEY
টাকা	PLAIN
,	SYMBOL
রসুনের	PLAIN
৩০.৮৭	MONEY
টাকা	PLAIN
,	SYMBOL
মরিচের	PLAIN
১৯	MONEY
টাকা	PLAIN
,	SYMBOL
সরিষা	PLAIN
৩৩.৮৪	MONEY
টাকা	PLAIN
এবং	PLAIN
মসুর	PLAIN
ডালের	PLAIN
উৎপাদর	PLAIN
খরচ	PLAIN
৪০.৩২	MONEY
টাকা	PLAIN
নির্ধারণ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
আলুর	PLAIN
অভিজ্ঞতা	PLAIN
কেমন	PLAIN
কৃষি	PLAIN
বিপণন	PLAIN
অধিদপ্তরের	PLAIN
মহাপরিচালক	PLAIN
জানান	PLAIN
,	SYMBOL
গত	PLAIN
বছর	PLAIN
তারা	PLAIN
আলুর	PLAIN
উৎপাদন	PLAIN
খরচ	PLAIN
ঠিক	PLAIN
করেছিলেন	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
৮.৩২	MONEY
টাকা	PLAIN
এবং	PLAIN
পরে	PLAIN
বাজারে	PLAIN
বিক্রির	PLAIN
জন্য	PLAIN
গড়	PLAIN
দাম	PLAIN
২১/২২	CARDINAL
টাকা	PLAIN
নির্ধারণ	PLAIN
করে	PLAIN
দেয়া	PLAIN
হয়েছিলো	PLAIN
<eos>	<eos>
গৃহস্থালি	PLAIN
মিটারে	PLAIN
দাম	PLAIN
বেড়েছে	PLAIN
প্রতি	PLAIN
ঘনমিটারে	PLAIN
১২.৬০	MONEY
টাকা	PLAIN
<eos>	<eos>
প্রতি	PLAIN
ঘনমিটার	PLAIN
গ্যাসের	PLAIN
দাম	PLAIN
৭.৩৮	MONEY
টাকা	PLAIN
থেকে	PLAIN
২.৪২	MONEY
টাকা	PLAIN
বাড়িয়ে	PLAIN
৯.৮০	MONEY
টাকা	PLAIN
নির্ধারণ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
সিএনজি	ACRONYM
গ্যাসের	PLAIN
দাম	PLAIN
নির্ধারণ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
প্রতি	PLAIN
ঘনমিটার	PLAIN
৪৩	MONEY
টাকা	PLAIN
এবং	PLAIN
বিদ্যুৎ	PLAIN
ও	PLAIN
সারের	PLAIN
জন্য	PLAIN
৪.৪৫	MONEY
টাকা	PLAIN
<eos>	<eos>
হোটেল	PLAIN
রেস্তোরায়	PLAIN
প্রতি	PLAIN
ঘনমিটার	PLAIN
২৩	MONEY
টাকা	PLAIN
,	SYMBOL
ক্যাপটিভ	PLAIN
পাওয়ারে	PLAIN
১৩.৮৫	MONEY
টাকা	PLAIN
,	SYMBOL
শিল্প	PLAIN
ও	PLAIN
চা	PLAIN
বাগানে	PLAIN
১০.৭০	MONEY
টাকা	PLAIN
,	SYMBOL
ক্ষুদ্র	PLAIN
ও	PLAIN
কুটির	PLAIN
শিল্পে	PLAIN
১৭.০৪	MONEY
টাকা	PLAIN
<eos>	<eos>
পেট্রোল	PLAIN
১২৭.০০	MONEY
টাকা	PLAIN
/	SYMBOL
লিটার	PLAIN
<eos>	<eos>
প্রতি	PLAIN
ড্রামের	PLAIN
বিক্রয়	PLAIN
মূল্য	PLAIN
১১,৮০০.০০	MONEY
<eos>	<eos>
১০০	MONEY
/-	SYMBOL
(	SYMBOL
একশত	PLAIN
)	SYMBOL
টাকা	PLAIN
মূল্যমান	PLAIN
বাংলাদেশ	PLAIN
প্রাইজবন্ডের	PLAIN
১১৫তম	ORDINAL
	SYMBOL
ড্র	PLAIN
অনুষ্ঠিত	PLAIN
হয়	PLAIN
<eos>	<eos>
২৪,৯০০	MONEY
(	SYMBOL
চব্বিশ	PLAIN
হাজার	PLAIN
নয়শত	PLAIN
)	SYMBOL
টাকা	PLAIN
মাত্র	PLAIN
<eos>	<eos>
প্রথম	PLAIN
১০০	CARDINAL
হেক্টর	PLAIN
১০,০০০	MONEY
/-	SYMBOL
টাকা	PLAIN
এবং	PLAIN
পরবর্তী	PLAIN
প্রতি	PLAIN
হেক্টর	PLAIN
বা	PLAIN
তার	PLAIN
অংশবিশেষ	PLAIN
৫০০	MONEY
/-	SYMBOL
টাকা	PLAIN
<eos>	<eos>
৪,৬০,২৭,৮৬১	MONEY
টাকা	PLAIN
মাত্র	PLAIN
<eos>	<eos>
৮.৮৭	MONEY
টাকা	PLAIN
প্রতি	PLAIN
কি.ও.ঘ.	ABBREVIATION
<eos>	<eos>
মোট	PLAIN
প্রাক্কলিত	PLAIN
পরিমাণ	PLAIN
১,২৫,৮১৩	MONEY
কোটি	PLAIN
টাকা	PLAIN
<eos>	<eos>
খুচরা	PLAIN
দাম	PLAIN
৪.৮৮	DECIMAL
%	SYMBOL
হারে	PLAIN
হ্রাস	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
চাল–মাঝারি	PLAIN
ও	PLAIN
সরু	PLAIN
এর	PLAIN
খুচরা	PLAIN
গড়	PLAIN
দাম	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
যথাক্রমে	PLAIN
০.১৫/-	MONEY
ও.	PLAIN
০.৬৯/-	MONEY
টাকা	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
যথাক্রমে	PLAIN
২/-	MONEY
,	SYMBOL
২৩/-	MONEY
ও	PLAIN
২৯/-	MONEY
টাকা	PLAIN
হ্রাস	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
খুচরা	PLAIN
দাম	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
১.১৫/-	MONEY
টাকা	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
পেট্রোলিয়াম	PLAIN
পণ্যের	PLAIN
স্থানীয়	PLAIN
বিক্রয়	PLAIN
মূল্যঃ	PLAIN
ডিজেল	PLAIN
-	SYMBOL
১০৬.৭৫	MONEY
(	SYMBOL
টাকা	PLAIN
/	SYMBOL
লিটার	PLAIN
)	SYMBOL
<eos>	<eos>
চাল	PLAIN
মধ্যম	PLAIN
মান	PLAIN
(	SYMBOL
সিদ্ধ	PLAIN
)	SYMBOL
পাইকারি	PLAIN
মূল্য	PLAIN
৫৩.০০-৫৫.০০	MONEY
টাকা	PLAIN
প্রতি	PLAIN
কেজি	PLAIN
<eos>	<eos>
বাজার	PLAIN
দর	PLAIN
আটা	PLAIN
(	SYMBOL
খোলা	PLAIN
)	SYMBOL
৩৩.০০	MONEY
-	SYMBOL
৩৫.০০	MONEY
টাকা	PLAIN
প্রতি	PLAIN
কেজি	PLAIN
<eos>	<eos>
মূল	PLAIN
মূল্য	PLAIN
৩০০	MONEY
টাকা	PLAIN
<eos>	<eos>
বেগুনের	PLAIN
গত	PLAIN
এগার	PLAIN
বছরের	PLAIN
পাইকারী	PLAIN
ও	PLAIN
খুচরা	PLAIN
বাজার	PLAIN
দর	PLAIN
বিশ্লেষন	PLAIN
করলে	PLAIN
দেখা	PLAIN
যায়	PLAIN
সর্বনিম্ন	PLAIN
বাজার	PLAIN
দর	PLAIN
পরিলক্ষিত	PLAIN
হয়	PLAIN
২০১০	DATE
সালে	PLAIN
এবং	PLAIN
তা	PLAIN
কুইন্টাল	PLAIN
প্রতি	PLAIN
১৬০১	MONEY
টাকা	PLAIN
ও	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
১৯.৮৭	MONEY
টাকা	PLAIN
<eos>	<eos>
খুচরা	PLAIN
দাম	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
৬.১০	MONEY
টাকা	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
২০১৭	DATE
-	PLAIN
২০১৮	DATE
অর্থ	PLAIN
বছরে	PLAIN
বেগুনের	PLAIN
উৎপাদন	PLAIN
ব্যয়	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
৮.৩৬	MONEY
টাকা	PLAIN
<eos>	<eos>
একর	PLAIN
প্রতি	PLAIN
উৎপাদন	PLAIN
খরচ	PLAIN
৯৬,৩৫১	MONEY
টাকা	PLAIN
এবং	PLAIN
মোট	PLAIN
আয়	PLAIN
১,৯৫,১৬২	MONEY
টাকা	PLAIN
যা	PLAIN
থেকে	PLAIN
কৃষকের	PLAIN
নীট	PLAIN
লাভ	PLAIN
৯৮,৮১১	MONEY
টাকা	PLAIN
<eos>	<eos>
যুক্তরাষ্ট্রে	PLAIN
এক	PLAIN
ডজন	PLAIN
ডিমের	PLAIN
দাম	PLAIN
১৪৬৪	MONEY
টাকা	PLAIN
<eos>	<eos>
২৫,৮৮,৮৬৯	MONEY
টাকা	PLAIN
মাত্র	PLAIN
<eos>	<eos>
মূলধন	PLAIN
সহায়তার	PLAIN
মাধ্যমে	PLAIN
দু'বছরে	PLAIN
মোট	PLAIN
৯,০০,০০০	MONEY
/=	SYMBOL
গ্রাম	PLAIN
সংগঠন	PLAIN
তহবিল	PLAIN
গড়ে	PLAIN
তোলা	PLAIN
<eos>	<eos>
সেখানে	PLAIN
ওয়ালমার্টে	PLAIN
৩	CARDINAL
ডজন	PLAIN
ডিমের	PLAIN
বাক্সর	PLAIN
দাম	PLAIN
এখন	PLAIN
৩৬	MONEY
ডলার	PLAIN
<eos>	<eos>
আলী	PLAIN
বাকের	PLAIN
১৫	CARDINAL
বছর	PLAIN
আগে	PLAIN
যে	PLAIN
জমি	PLAIN
৫	CARDINAL
হাজার	PLAIN
টাকায়	PLAIN
নিতে	PLAIN
পারতেন	PLAIN
,	SYMBOL
এখন	PLAIN
সে	PLAIN
জমি	PLAIN
রাখতে	PLAIN
তাঁর	PLAIN
লাগে	PLAIN
১৫	CARDINAL
থেকে	PLAIN
১৮	CARDINAL
হাজার	PLAIN
টাকা	PLAIN
<eos>	<eos>
এক	PLAIN
বছরে	PLAIN
৪৩	CARDINAL
হাজার	PLAIN
কোটি	PLAIN
টাকার	PLAIN
সিগারেট	PLAIN
বিক্রি	PLAIN
করেছে	PLAIN
ব্রিটিশ	PLAIN
আমেরিকান	PLAIN
টোব্যাকো	PLAIN
<eos>	<eos>
গত	PLAIN
বছর	PLAIN
কোম্পানিটি	PLAIN
৪৩	CARDINAL
হাজার	PLAIN
২৩২	CARDINAL
কোটি	PLAIN
টাকার	PLAIN
সিগারেটসহ	PLAIN
তামাকজাত	PLAIN
পণ্য	PLAIN
বিক্রি	PLAIN
করেছে	PLAIN
<eos>	<eos>
শেয়ারধারণের	PLAIN
এই	PLAIN
তথ্য	PLAIN
অনুযায়ী	PLAIN
,	SYMBOL
গত	PLAIN
বছরের	PLAIN
জন্য	PLAIN
কোম্পানিটির	PLAIN
পক্ষ	PLAIN
থেকে	PLAIN
ঘোষিত	PLAIN
লভ্যাংশের	PLAIN
মধ্যে	PLAIN
বিদেশি	PLAIN
উদ্যোক্তা-পরিচালকেরা	PLAIN
পাবেন	PLAIN
১	CARDINAL
হাজার	PLAIN
১৮২	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
<eos>	<eos>
খুদে	PLAIN
বিবরণীর	PLAIN
জন্য	PLAIN
দিতে	PLAIN
হবে	PLAIN
৫	MONEY
টাকা	PLAIN
এবং	PLAIN
তহবিল	PLAIN
স্থানান্তরের	PLAIN
জন্য	PLAIN
গ্রাহককে	PLAIN
দিতে	PLAIN
হবে	PLAIN
১০	MONEY
টাকা	PLAIN
<eos>	<eos>
সিডনি	PLAIN
বিশ্ববিদ্যালয়ে	PLAIN
৮০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
অনুদান	PLAIN
দিলেন	PLAIN
বাংলাদেশি	PLAIN
রবিন	PLAIN
খুদা	PLAIN
<eos>	<eos>
চলতি	PLAIN
অর্থবছরের	PLAIN
প্রথম	PLAIN
ছয়	PLAIN
মাসে	PLAIN
(	SYMBOL
জুলাই-ডিসেম্বর	PLAIN
)	SYMBOL
রাজস্ব	PLAIN
আয়ে	PLAIN
এনবিআরের	ACRONYM
ঘাটতি	PLAIN
৫৭	CARDINAL
হাজার	PLAIN
৮৯১	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
<eos>	<eos>
প্রতি	PLAIN
কেজি	PLAIN
২৫০-২৬০	MONEY
টাকা	PLAIN
দামে	PLAIN
বিক্রি	PLAIN
করছেন	PLAIN
তিনি	PLAIN
<eos>	<eos>
টাকার	PLAIN
বিনিময়	PLAIN
হার	PLAIN
:	SYMBOL
১	CARDINAL
ডলার	PLAIN
=	SYMBOL
১১২.৫০	MONEY
টাকা	PLAIN
<eos>	<eos>
বাংলাদেশ	PLAIN
ব্যাংকের	PLAIN
হিসাব	PLAIN
অনুযায়ী	PLAIN
,	SYMBOL
রিজার্ভ	PLAIN
৪০.৫	DECIMAL
বিলিয়ন	PLAIN
ডলারে	PLAIN
দাঁড়িয়েছে	PLAIN
<eos>	<eos>
তেলের	PLAIN
দাম	PLAIN
লিটার	PLAIN
প্রতি	PLAIN
১০.৫	MONEY
টাকা	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
বরিশাল	PLAIN
শহরে	PLAIN
নতুন	PLAIN
পার্কের	PLAIN
নির্মাণকাজে	PLAIN
মোট	PLAIN
১২.৭৫	MONEY
কোটি	PLAIN
টাকা	PLAIN
ব্যয়	PLAIN
হবে	PLAIN
<eos>	<eos>
বাংলাদেশ	PLAIN
ব্যাংক	PLAIN
থেকে	PLAIN
জারি	PLAIN
করা	PLAIN
হয়েছে	PLAIN
১০	MONEY
টাকা	PLAIN
মূল্যমানের	PLAIN
নতুন	PLAIN
নোট	PLAIN
<eos>	<eos>
সরকার	PLAIN
গত	PLAIN
বছর	PLAIN
বন্যার্তদের	PLAIN
জন্য	PLAIN
৮,৫০০	CARDINAL
কোটি	PLAIN
টাকার	PLAIN
ত্রাণ	PLAIN
সামগ্রী	PLAIN
বিতরণ	PLAIN
করেছে	PLAIN
<eos>	<eos>
ঢাকা-চট্টগ্রাম	PLAIN
এক্সপ্রেসওয়ে	PLAIN
প্রকল্পের	PLAIN
প্রাক্কলিত	PLAIN
ব্যয়	PLAIN
২০,০০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
<eos>	<eos>
সিলেটের	PLAIN
হাওর	PLAIN
এলাকায়	PLAIN
কৃষকদের	PLAIN
মাঝে	PLAIN
৫.৫	MONEY
কোটি	PLAIN
টাকার	PLAIN
বীজ	PLAIN
বিতরণ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
ডিজেলের	PLAIN
দাম	PLAIN
লিটার	PLAIN
প্রতি	PLAIN
১১০.৫০	MONEY
টাকা	PLAIN
নির্ধারণ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
সরকারি	PLAIN
কর্মচারীদের	PLAIN
বেতন	PLAIN
বৃদ্ধির	PLAIN
ফলে	PLAIN
বাজেটে	PLAIN
১৫,৮৩০	CARDINAL
কোটি	PLAIN
টাকার	PLAIN
অতিরিক্ত	PLAIN
চাপ	PLAIN
পড়বে	PLAIN
<eos>	<eos>
খাদ্য	PLAIN
অধিদপ্তর	PLAIN
চাল	PLAIN
সংগ্রহের	PLAIN
জন্য	PLAIN
প্রতি	PLAIN
কেজি	PLAIN
৪২.৭৫	MONEY
টাকা	PLAIN
দর	PLAIN
নির্ধারণ	PLAIN
করেছে	PLAIN
<eos>	<eos>
স্বাস্থ্য	PLAIN
খাতে	PLAIN
চলতি	PLAIN
অর্থবছরে	PLAIN
৭,৫৪৬	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
বরাদ্দ	PLAIN
রাখা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
পাবনায়	PLAIN
বন্যা	PLAIN
নিয়ন্ত্রণ	PLAIN
প্রকল্পে	PLAIN
৮৭৫.৪৮	MONEY
কোটি	PLAIN
টাকা	PLAIN
বরাদ্দ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
বিএনপি	ACRONYM
নেতা	PLAIN
আটক	PLAIN
হওয়ার	PLAIN
পর	PLAIN
৫	CARDINAL
লাখ	PLAIN
টাকা	PLAIN
জামানতে	PLAIN
মুক্তি	PLAIN
পেয়েছেন	PLAIN
<eos>	<eos>
ডলারের	PLAIN
দাম	PLAIN
বেড়ে	PLAIN
১১৫.৭০	MONEY
টাকায়	PLAIN
পৌঁছেছে	PLAIN
<eos>	<eos>
মৎস্য	PLAIN
খাতে	PLAIN
উন্নয়নের	PLAIN
জন্য	PLAIN
৩,৫০০	CARDINAL
কোটি	PLAIN
টাকার	PLAIN
প্রকল্প	PLAIN
অনুমোদিত	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
প্রধানমন্ত্রী	PLAIN
বন্যার্তদের	PLAIN
মাঝে	PLAIN
১২৫	CARDINAL
কোটি	PLAIN
টাকার	PLAIN
ত্রাণ	PLAIN
বিতরণের	PLAIN
ঘোষণা	PLAIN
দিয়েছেন	PLAIN
<eos>	<eos>
খুলনা	PLAIN
বিভাগে	PLAIN
নতুন	PLAIN
রাস্তার	PLAIN
উন্নয়নে	PLAIN
১,৭৬৫	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
ব্যয়	PLAIN
হবে	PLAIN
<eos>	<eos>
আমদানি	PLAIN
খাতে	PLAIN
শুল্ক	PLAIN
কমানোর	PLAIN
ফলে	PLAIN
রাজস্ব	PLAIN
সংগ্রহে	PLAIN
২,৫০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
কম	PLAIN
হবে	PLAIN
<eos>	<eos>
বর্ষার	PLAIN
মৌসুমে	PLAIN
পেঁয়াজের	PLAIN
দাম	PLAIN
কেজি	PLAIN
প্রতি	PLAIN
৭৫.৮০	MONEY
টাকায়	PLAIN
উন্নীত	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
গম	PLAIN
আমদানিতে	PLAIN
৩০	DECIMAL
%	SYMBOL
শুল্ক	PLAIN
বাড়ানোয়	PLAIN
বাজারে	PLAIN
প্রতি	PLAIN
কেজি	PLAIN
আটার	PLAIN
দাম	PLAIN
৮.৪৫	MONEY
টাকা	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
রাজধানীর	PLAIN
গুলশানে	PLAIN
ফ্ল্যাটের	PLAIN
গড়	PLAIN
দাম	PLAIN
প্রতি	PLAIN
বর্গফুট	PLAIN
২৫,০০০	MONEY
টাকা	PLAIN
অতিক্রম	PLAIN
করেছে	PLAIN
<eos>	<eos>
বিদ্যুৎ	PLAIN
বিভাগ	PLAIN
৫০,০০০	CARDINAL
কোটি	PLAIN
টাকার	PLAIN
নতুন	PLAIN
সাবমেরিন	PLAIN
কেবল	PLAIN
স্থাপনের	PLAIN
চুক্তি	PLAIN
করেছে	PLAIN
<eos>	<eos>
বাংলাদেশ	PLAIN
ব্যাংকের	PLAIN
তথ্য	PLAIN
অনুযায়ী	PLAIN
,	SYMBOL
দেশের	PLAIN
রিজার্ভ	PLAIN
৩৭.২	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
বা	PLAIN
৪,৩০,০০০	CARDINAL
কোটি	PLAIN
টাকায়	PLAIN
দাঁড়িয়েছে	PLAIN
<eos>	<eos>
সড়ক	PLAIN
দুর্ঘটনায়	PLAIN
মৃত	PLAIN
ব্যক্তির	PLAIN
পরিবারকে	PLAIN
৫	CARDINAL
লাখ	PLAIN
টাকা	PLAIN
ক্ষতিপূরণ	PLAIN
দেওয়া	PLAIN
হবে	PLAIN
<eos>	<eos>
আগামী	PLAIN
অর্থবছরের	PLAIN
বাজেটে	PLAIN
শিক্ষা	PLAIN
খাতে	PLAIN
৭৩,০০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
বরাদ্দ	PLAIN
রাখা	PLAIN
হবে	PLAIN
<eos>	<eos>
সরকার	PLAIN
প্রতি	PLAIN
কেজি	PLAIN
আমন	PLAIN
ধান	PLAIN
৪২	MONEY
টাকা	PLAIN
দরে	PLAIN
সংগ্রহ	PLAIN
করবে	PLAIN
<eos>	<eos>
মেট্রোরেল	PLAIN
প্রকল্পের	PLAIN
ব্যয়	PLAIN
৩৫,৫০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
থেকে	PLAIN
বেড়ে	PLAIN
৪২,০০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
একসেট	PLAIN
স্বর্ণালঙ্কারের	PLAIN
দাম	PLAIN
১	CARDINAL
লাখ	PLAIN
৮৫	CARDINAL
হাজার	PLAIN
টাকা	PLAIN
থেকে	PLAIN
২	CARDINAL
লাখ	PLAIN
২৫	CARDINAL
হাজার	PLAIN
টাকা	PLAIN
পর্যন্ত	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
<eos>	<eos>
খাদ্য	PLAIN
খাতে	PLAIN
সহায়তা	PLAIN
হিসেবে	PLAIN
বিশ্বব্যাংক	PLAIN
বাংলাদেশকে	PLAIN
৫০০	CARDINAL
মিলিয়ন	PLAIN
ডলার	PLAIN
বা	PLAIN
৫,৭৫০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
দেবে	PLAIN
<eos>	<eos>
রাজধানীতে	PLAIN
বাড়িভাড়া	PLAIN
গড়ে	PLAIN
৪৫	DECIMAL
%	SYMBOL
বৃদ্ধি	PLAIN
পেয়ে	PLAIN
প্রতি	PLAIN
বর্গফুটে	PLAIN
২৫.৮০	MONEY
টাকায়	PLAIN
উন্নীত	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
কৃষি	PLAIN
খাতে	PLAIN
ভর্তুকি	PLAIN
বাবদ	PLAIN
১৫,০০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
প্রদান	PLAIN
করা	PLAIN
হবে	PLAIN
<eos>	<eos>
বাংলাদেশ	PLAIN
ব্যাংক	PLAIN
বাণিজ্যিক	PLAIN
ব্যাংকগুলোর	PLAIN
জন্য	PLAIN
ঋণের	PLAIN
সুদ	PLAIN
হার	PLAIN
সর্বোচ্চ	PLAIN
৯.৫০	DECIMAL
%	SYMBOL
নির্ধারণ	PLAIN
করেছে	PLAIN
<eos>	<eos>
চলতি	PLAIN
বছরে	PLAIN
রেমিট্যান্স	PLAIN
প্রবাহ	PLAIN
২২.৫	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
বা	PLAIN
২.৬০	DECIMAL
লাখ	PLAIN
কোটি	PLAIN
টাকা	PLAIN
ছাড়িয়ে	PLAIN
যাবে	PLAIN
<eos>	<eos>
টাকার	PLAIN
অবমূল্যায়নের	PLAIN
কারণে	PLAIN
আমদানি	PLAIN
ব্যয়	PLAIN
বাড়ছে	PLAIN
প্রতি	PLAIN
মাসে	PLAIN
৮,০০০	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
<eos>	<eos>
চা	PLAIN
বাগানের	PLAIN
শ্রমিকরা	PLAIN
দৈনিক	PLAIN
১৭০	MONEY
টাকা	PLAIN
মজুরি	PLAIN
পান	PLAIN
<eos>	<eos>
পদ্মা	PLAIN
সেতু	PLAIN
প্রকল্পের	PLAIN
ব্যয়	PLAIN
৩০,১৯৩	CARDINAL
কোটি	PLAIN
টাকায়	PLAIN
সম্পন্ন	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
সরকার	PLAIN
নতুন	PLAIN
মোটরসাইকেলের	PLAIN
রেজিস্ট্রেশন	PLAIN
ফি	PLAIN
২০,০০০	MONEY
টাকা	PLAIN
থেকে	PLAIN
কমিয়ে	PLAIN
১৫,০০০	MONEY
টাকা	PLAIN
করেছে	PLAIN
<eos>	<eos>
পেট্রোলের	PLAIN
দাম	PLAIN
লিটার	PLAIN
প্রতি	PLAIN
১৩০.২০	MONEY
টাকা	PLAIN
